Month,Year,Company,Number_Disconnections_Res,Outliers
5,2017,Duke Energy Carolinas,10337,Y
5,2017,New River Light & Power,N/A,
6,2017,Duke Energy Progress,6148,
6,2017,Dominion,629,
6,2017,Duke Energy Carolinas,9946,
6,2017,New River Light & Power,43,
7,2017,Duke Energy Progress,5064,
7,2017,Dominion,471,
7,2017,Duke Energy Carolinas,7812,
7,2017,New River Light & Power,24,
8,2017,Duke Energy Progress,5771,
8,2017,Dominion,593,
8,2017,Duke Energy Carolinas,9871,
8,2017,New River Light & Power,9,
9,2017,Duke Energy Progress,5365,
9,2017,Dominion,583,
9,2017,Duke Energy Carolinas,7437,
9,2017,New River Light & Power,1,
10,2017,Duke Energy Progress,9500,
10,2017,Dominion,633,
10,2017,Duke Energy Carolinas,12891,
10,2017,New River Light & Power,10,
11,2017,Duke Energy Progress,N/A,
11,2017,Dominion,512,
11,2017,Duke Energy Carolinas,6274,
11,2017,New River Light & Power,15,
12,2017,Duke Energy Progress,5281,
12,2017,Dominion,245,
12,2017,Duke Energy Carolinas,8851,
12,2017,New River Light & Power,5,
1,2016,Duke Energy Carolinas,4948,
1,2016,Duke Energy Progress,3556,
1,2016,Dominion,278,
1,2016,New River Light & Power,17,
2,2016,Duke Energy Progress,5124,
2,2016,Dominion,8512,
2,2016,Duke Energy Carolinas,360,
2,2016,New River Light & Power,10,
3,2016,Duke Energy Progress,7544,
3,2016,Dominion,533,
3,2016,Duke Energy Carolinas,10013,
3,2016,New River Light & Power,24,
4,2016,Duke Energy Progress,6897,
4,2016,Dominion,520,
4,2016,Duke Energy Carolinas,10470,
4,2016,New River Light & Power,21,
5,2016,Duke Energy Progress,6487,
5,2016,Dominion,537,
5,2016,Duke Energy Carolinas,11346,Y
5,2016,New River Light & Power,27,
6,2016,Duke Energy Progress,5897,
6,2016,Dominion,511,
6,2016,Duke Energy Carolinas,9401,
6,2016,New River Light & Power,24,
7,2016,Duke Energy Progress,3789,
7,2016,Dominion,217,
7,2016,Duke Energy Carolinas,8604,
7,2016,New River Light & Power,22,
8,2016,Duke Energy Progress,6350,
8,2016,Dominion,523,
8,2016,Duke Energy Carolinas,9285,
8,2016,New River Light & Power,13,
9,2016,Duke Energy Progress,6394,
9,2016,Dominion,474,
9,2016,Duke Energy Carolinas,9720,
9,2016,New River Light & Power,4,
10,2016,Duke Energy Progress,3593,
10,2016,Dominion,385,
10,2016,Duke Energy Carolinas,7920,
10,2016,New River Light & Power,4,
11,2016,Duke Energy Progress,6724,
11,2016,Dominion,469,
11,2016,Duke Energy Carolinas,9371,
11,2016,New River Light & Power,5,
12,2016,Duke Energy Progress,5228,
12,2016,Dominion,317,
12,2016,Duke Energy Carolinas,7363,
12,2016,New River Light & Power,22,
1,2015,Duke Energy Carolinas,7644,
1,2015,Duke Energy Progress,5469,
1,2015,Dominion,106,
1,2015,New River Light & Power,13,
2,2015,Duke Energy Progress,3064,
2,2015,Dominion,64,
2,2015,Duke Energy Carolinas,4703,
2,2015,New River Light & Power,14,
3,2015,Duke Energy Progress,7413,
3,2015,Dominion,939,
3,2015,Duke Energy Carolinas,12925,Y
3,2015,New River Light & Power,23,
4,2015,Duke Energy Progress,6830,
4,2015,Dominion,765,
4,2015,Duke Energy Carolinas,11711,Y
4,2015,New River Light & Power,19,
5,2015,Duke Energy Progress,6436,
5,2015,Dominion,712,
5,2015,Duke Energy Carolinas,11198,Y
5,2015,New River Light & Power,36,
6,2015,Duke Energy Progress,5067,
6,2015,Dominion,674,
6,2015,Duke Energy Carolinas,10386,Y
6,2015,New River Light & Power,23,
7,2015,Duke Energy Progress,4667,
7,2015,Dominion,596,
7,2015,Duke Energy Carolinas,8994,
7,2015,New River Light & Power,23,
8,2015,Duke Energy Progress,5549,
8,2015,Dominion,727,
8,2015,Duke Energy Carolinas,9697,
8,2015,New River Light & Power,10,
9,2015,Duke Energy Progress,6218,
9,2015,Dominion,820,
9,2015,Duke Energy Carolinas,12746,Y
9,2015,New River Light & Power,6,
10,2015,Duke Energy Progress,6635,
10,2015,Dominion,713,
10,2015,Duke Energy Carolinas,12534,Y
10,2015,New River Light & Power,15,
11,2015,Duke Energy Progress,6162,
11,2015,Dominion,483,
11,2015,Duke Energy Carolinas,9342,
11,2015,New River Light & Power,3,
12,2015,Duke Energy Progress,6537,
12,2015,Dominion,428,
12,2015,Duke Energy Carolinas,9062,
12,2015,New River Light & Power,15,
1,2014,Duke Energy Carolinas,6290,
1,2014,Duke Energy Progress,N/A,
1,2014,Dominion,270,
1,2014,New River Light & Power,28,
2,2014,Duke Energy Progress,5813,
2,2014,Dominion,395,
2,2014,Duke Energy Carolinas,10634,
2,2014,New River Light & Power,10,
3,2014,Duke Energy Progress,7078,
3,2014,Dominion,546,
3,2014,Duke Energy Carolinas,13027,Y
3,2014,New River Light & Power,24,
4,2014,Duke Energy Progress,8120,
4,2014,Dominion,624,
4,2014,Duke Energy Carolinas,13109,Y
4,2014,New River Light & Power,28,
5,2014,Duke Energy Progress,8803,
5,2014,Dominion,716,
5,2014,Duke Energy Carolinas,12980,Y
5,2014,New River Light & Power,29,
6,2014,Duke Energy Progress,7145,
6,2014,Dominion,729,
6,2014,Duke Energy Carolinas,12646,Y
6,2014,New River Light & Power,30,
7,2014,Duke Energy Progress,6291,
7,2014,Dominion,666,
7,2014,Duke Energy Carolinas,9973,
7,2014,New River Light & Power,36,
8,2014,Duke Energy Progress,6033,
8,2014,Dominion,684,
8,2014,Duke Energy Carolinas,8791,
8,2014,New River Light & Power,10,
9,2014,Duke Energy Progress,6453,
9,2014,Dominion,11028,Y
9,2014,Duke Energy Carolinas,744,
9,2014,New River Light & Power,11,
10,2014,Duke Energy Progress,7272,
10,2014,Dominion,714,
10,2014,Duke Energy Carolinas,11220,Y
10,2014,New River Light & Power,11,
11,2014,Duke Energy Progress,5772,
11,2014,Dominion,459,
11,2014,Duke Energy Carolinas,9290,
11,2014,New River Light & Power,9,
12,2014,Duke Energy Progress,6665,
12,2014,Dominion,359,
12,2014,Duke Energy Carolinas,9857,
12,2014,New River Light & Power,11,
1,2013,Duke Energy Carolinas,9816,
1,2013,Duke Energy Progress,7639,
1,2013,Dominion,538,
1,2013,New River Light & Power,37,
2,2013,Duke Energy Progress,7448,
2,2013,Dominion,513,
2,2013,Duke Energy Carolinas,11753,Y
2,2013,New River Light & Power,28,
3,2013,Duke Energy Progress,6731,
3,2013,Dominion,243,
3,2013,Duke Energy Carolinas,10477,
3,2013,New River Light & Power,13,
4,2013,Duke Energy Progress,7696,
4,2013,Dominion,650,
4,2013,Duke Energy Carolinas,12923,Y
4,2013,New River Light & Power,39,
5,2013,Duke Energy Progress,8677,
5,2013,Dominion,612,
5,2013,Duke Energy Carolinas,12730,Y
5,2013,New River Light & Power,26,
6,2013,Duke Energy Progress,7422,
6,2013,Dominion,624,
6,2013,Duke Energy Carolinas,12907,Y
6,2013,New River Light & Power,27,
7,2013,Duke Energy Progress,7468,
7,2013,Dominion,650,
7,2013,Duke Energy Carolinas,12111,Y
7,2013,New River Light & Power,41,
8,2013,Duke Energy Progress,8041,
8,2013,Dominion,587,
8,2013,Duke Energy Carolinas,11610,Y
8,2013,New River Light & Power,16,
9,2013,Duke Energy Progress,7673,
9,2013,Dominion,658,
9,2013,Duke Energy Carolinas,12618,Y
9,2013,New River Light & Power,13,
10,2013,Duke Energy Progress,9392,
10,2013,Dominion,748,
10,2013,Duke Energy Carolinas,15586,Y
10,2013,New River Light & Power,19,
11,2013,Duke Energy Progress,6642,
11,2013,Dominion,514,
11,2013,Duke Energy Carolinas,11348,Y
11,2013,New River Light & Power,15,
